rank,title,url,pdf_url,source,published_date,authors,institutions,category,abstract_summary_cn,abstract_summary_en,key_innovation,why_it_matters,business_insight,product_idea,skill_or_agent_idea,target_users,monetization,mvp_complexity,technical_novelty_score,commercial_potential_score,solo_founder_feasibility_score,market_need_score,mvp_speed_score,virality_score,moat_score,total_score,why_selected,risks,recommended_next_step,code_url,github_stars,huggingface_url,demo_url,llm_analysis_status,confidence
1,ExtractBench: A Benchmark for Schema-Guided Enterprise Document Extraction,https://arxiv.org/abs/2607.29677,https://arxiv.org/pdf/2607.29677,arxiv; huggingface,2026-07-31,Boyang Zhang; Adrian Lyjak; Eli Stewart; Zhaoqi Li; Simon Suo,,agents_workflow,规则摘要：这项研究围绕“ExtractBench: A Benchmark for Schema-Guided Enterprise Document Extraction”提出了可进一步验证的技术方向。,"Enterprise workflows increasingly rely on agents for \emph{schema-guided extraction}: given a document and a user-defined schema, the agent faithfully follows the schema to produce the correct output with source evidence as grounding metad…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies ExtractBench: A Benchmark for Schema-Guided Enterprise Document Extraction to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,61.0,60.58,64.0,65.0,57.0,61.17,42.0,60.76,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.29677,,failed_or_skipped,medium
2,Beacon: Knowing When and How to Perform Agentic Visual Reasoning,https://arxiv.org/abs/2607.28595,https://arxiv.org/pdf/2607.28595,huggingface,2026-07-31,Qixun Wang; Yang Shi; Letian Cheng; Zhuoran Zhang; Yan He; Yuqi Tang; Qi Zhang; Xinlei Yu; Ruizhe Chen; Tianrun Xu; Yuanxing Zhang; Pengfei Wan; Haotian Wang; Xianghua Ying,,agents_workflow,规则摘要：这项研究围绕“Beacon: Knowing When and How to Perform Agentic Visual Reasoning”提出了可进一步验证的技术方向。,"The fundamental goal of agentic visual reasoning is to improve the success rate of multimodal large language models (MLLMs) on complex tasks, rather than merely equipping them with a sophisticated yet inefficient reasoning paradigm. In thi…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies Beacon: Knowing When and How to Perform Agentic Visual Reasoning to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,61.0,59.76,58.0,47.0,63.0,65.52,30.0,57.09,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.28595,,failed_or_skipped,medium
3,MoRoute: Dynamic Routing for In-Context Multimodal Video Generation,https://arxiv.org/abs/2607.29545,https://arxiv.org/pdf/2607.29545,arxiv,2026-07-31,Chong Gao; Jie Ma; Zhan Peng; Chongxiao Wang; Haoxue Wu; Jun Liang; Guanbin Li; Jing Li,,agents_workflow,规则摘要：这项研究围绕“MoRoute: Dynamic Routing for In-Context Multimodal Video Generation”提出了可进一步验证的技术方向。,"Multimodal video generation aims to generate and edit videos conditioned on arbitrary combinations of text, images, and videos within a single model, allowing diverse tasks to share complementary data and generative priors. Unifying these…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies MoRoute: Dynamic Routing for In-Context Multimodal Video Generation to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,61.0,60.0,58.0,50.0,65.0,52.0,30.0,56.45,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
4,Can Large Language Models Execute Parent Orders?,https://arxiv.org/abs/2607.28410,https://arxiv.org/pdf/2607.28410,huggingface,2026-07-31,Zane Shen; Xinli Xu; Guangyi Zhang; Jialong Chen; Jinsong Zhou; Cong Chen; Guibao Shen; Dongyu Yan; Luozhou Wang; Zhen Yang,,vertical_ai,规则摘要：这项研究围绕“Can Large Language Models Execute Parent Orders?”提出了可进一步验证的技术方向。,"Parent-order execution is a core problem in algorithmic trading, where the goal is to split a large order into smaller orders while reducing execution costs. Existing approaches either rely on pre-specified market assumptions that may not…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：垂直行业 AI 助手。,Build a domain-specific assistant with auditable workflows.,Create a reusable skill that applies Can Large Language Models Execute Parent Orders? to one customer workflow.,domain professionals; specialist firms,Per-seat SaaS,medium,61.0,51.82,60.0,50.0,59.0,61.63,34.0,55.37,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.28410,,failed_or_skipped,medium
5,Studying quantization trade-offs for efficient inference deployment in machine translation,https://arxiv.org/abs/2607.29397,https://arxiv.org/pdf/2607.29397,arxiv,2026-07-31,Jim Zhao; Sohir Maskey; Koen Oostermeijer; Douglas Orr; Teryn Jones,,infrastructure,规则摘要：这项研究围绕“Studying quantization trade-offs for efficient inference deployment in machine translation”提出了可进一步验证的技术方向。,"Deploying large language models in realistic server environments poses challenges, as the system needs to provide high-quality responses with low latency. Quantization is a common approach to reduce the memory footprint and improve inferen…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：AI 开发者基础设施服务。,"Expose the method as an observability, evaluation, or deployment service.",Create a reusable skill that applies Studying quantization trade-offs for efficient inference deployment in machine translation to one customer workflow.,AI engineers; product teams,Tiered developer plans,medium,53.0,55.0,62.0,59.0,59.0,45.0,38.0,55.25,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
6,VideoCoCo: Code-as-CoT for Physically-Consistent Video Generation via an Agentic Dual-Engine System,https://arxiv.org/abs/2607.27380,https://arxiv.org/pdf/2607.27380,huggingface,2026-07-31,Haodong Li; Tianfei Ren; Xiaoxiao Ma; Chunmei Qing; Zhen Fang; Sipeng He; Ziyu Guo; Haoyu Wu; Juanxi Tian; Yihang Zou; Ruichuan An; Dongzhi Jiang; Boxue Yang; Ji Xie; Xu Huang; Wenhao Yan; Jialv Zou; Zhengrong Yue; Yaxin Luo; Xiaotong Li; Yuzhu Wang; Junyan Ye; Jinjing Zhao; Zehui Chen; Lin Chen; Renye Yan; Feng Zhao; Pheng-Ann Heng,,agents_workflow,规则摘要：这项研究围绕“VideoCoCo: Code-as-CoT for Physically-Consistent Video Generation via an Agentic Dual-Engine System”提出了可进一步验证的技术方向。,"Text-to-video models have achieved remarkable visual quality, yet they still struggle to generate physically consistent dynamics because the temporal evolution of a scene must be inferred implicitly from a highly compressed text prompt. Ex…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies VideoCoCo: Code-as-CoT for Physically-Consistent Video Generation via an Agentic Dual-Engine System to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,69.0,46.28,58.0,41.0,59.0,73.56,30.0,54.43,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.27380,,failed_or_skipped,medium
7,BM25 Wins at Scale: A Scaling Study of Retrieval-Augmented Generation Paradigms,https://arxiv.org/abs/2607.26497,https://arxiv.org/pdf/2607.26497,huggingface,2026-07-31,Pengyu Wang; Benfeng Xu; Shaohan Wang; Xin Zeng; Huarui Wu; Lei Zhang; Licheng Zhang,,agents_workflow,规则摘要：这项研究围绕“BM25 Wins at Scale: A Scaling Study of Retrieval-Augmented Generation Paradigms”提出了可进一步验证的技术方向。,"Retrieval-augmented generation (RAG) spans lexical and dense retrieval, graph-based indexing, and agentic search, but these paradigms are usually evaluated on different benchmarks at one corpus size, leaving their accuracy-cost scaling unc…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies BM25 Wins at Scale: A Scaling Study of Retrieval-Augmented Generation Paradigms to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,53.0,53.69,60.0,50.0,59.0,58.38,34.0,54.31,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.26497,,failed_or_skipped,medium
8,See2Think: Do Multimodal Models Really Use Intermediate Visual States?,https://arxiv.org/abs/2607.26769,https://arxiv.org/pdf/2607.26769,huggingface,2026-07-31,Siyu Yan; Zhuoran Yan; Haiying Xu; Panhao Zhou; Jingyu Chen; Chenhao Ji; Shuo Cao; Yongheng Zhang; Haoze Liu; Siyu Zhang; Xiwen Gu; Yihao Liu; Alex Jinpeng Wang,,agents_workflow,规则摘要：这项研究围绕“See2Think: Do Multimodal Models Really Use Intermediate Visual States?”提出了可进一步验证的技术方向。,"Multimodal large language models increasingly use sketches, annotations, tools, and intermediate images during reasoning, but it remains unclear whether they truly rely on these visual states. Existing benchmarks are limited both by task c…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies See2Think: Do Multimodal Models Really Use Intermediate Visual States? to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,61.0,51.52,58.0,44.0,61.0,63.04,30.0,54.13,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.26769,,failed_or_skipped,medium
9,Evaluation-Verification Reward for Consistent Multi-Reference Image Editing,https://arxiv.org/abs/2607.29025,https://arxiv.org/pdf/2607.29025,huggingface,2026-08-03,Yingmao Miao; Pengfei Zhang; Xiaochen Lv; Meng Yu; Lei Sun; Xiangxiang Chu; Chao Shen; Chenhao Lin,,multimodal,规则摘要：这项研究围绕“Evaluation-Verification Reward for Consistent Multi-Reference Image Editing”提出了可进一步验证的技术方向。,"While recent image editing models have made rapid progress, multi-reference editing remains challenging, particularly in maintaining visual consistency across references and ensuring overall visual harmony. Reinforcement learning has prove…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：多模态内容处理 API。,Package the capability as a media-processing API and review tool.,Create a reusable skill that applies Evaluation-Verification Reward for Consistent Multi-Reference Image Editing to one customer workflow.,content teams; e-commerce sellers,API credits plus team plans,medium,45.0,58.32,60.0,53.0,61.0,46.63,34.0,53.74,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.29025,,failed_or_skipped,medium
10,Simulation Code Generation for Fluid Systems using Large Language Models: Benchmarking Models and Prompting Strategies,https://arxiv.org/abs/2607.29389,https://arxiv.org/pdf/2607.29389,arxiv,2026-07-31,Jan Marius Stürmer; Jascha Knack; Tobias Koch; Andreas Weinmann,,infrastructure,规则摘要：这项研究围绕“Simulation Code Generation for Fluid Systems using Large Language Models: Benchmarking Models and Prompting Strategies”提出了可进一步验证的技术方向。,"Large language models (LLMs) have demonstrated a strong ability to generate syntactically correct code from natural-language specifications. In this study, we explore how LLMs can be harnessed to automatically translate a neutral graph rep…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：AI 开发者基础设施服务。,"Expose the method as an observability, evaluation, or deployment service.",Create a reusable skill that applies Simulation Code Generation for Fluid Systems using Large Language Models: Benchmarking Models and Prompting Strategies to one customer workflow.,AI engineers; product teams,Tiered developer plans,medium,53.0,54.0,60.0,53.0,61.0,45.0,34.0,53.7,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
