rank,title,url,pdf_url,source,published_date,authors,institutions,category,abstract_summary_cn,abstract_summary_en,key_innovation,why_it_matters,business_insight,product_idea,skill_or_agent_idea,target_users,monetization,mvp_complexity,technical_novelty_score,commercial_potential_score,solo_founder_feasibility_score,market_need_score,mvp_speed_score,virality_score,moat_score,total_score,why_selected,risks,recommended_next_step,code_url,github_stars,huggingface_url,demo_url,llm_analysis_status,confidence
1,Towards Precision Therapy in Hepatocellular Carcinoma: A Clinical-Reasoning LLM for Risk Stratification and Treatment Guidance,https://arxiv.org/abs/2607.08602,https://arxiv.org/pdf/2607.08602,arxiv,2026-07-09,Peng Cui; Jitao Wang; Siyan Xue; Yao Huang; Haoming Xia; Dong Li; Dengxiang Liu; Weilin Wang; Liping Liu; Leida Zhang; Yunfu Cui; Tao Peng; Daolin Ji; Haitao Zhao; Wei Zhang; Xiaojuan Wang; Weijie Ma; Zongren Ding; Jinlong Li; Yuan Ding; Jiajing Zhao; Zhiyu Chen; Chengkun Yang; Ziyue Huang; Jiaqi Liu; Fusheng Liu; Yang Zhou; Xiaojuan Wang; Zhongquan Sun; Shiyun Bao; Xiaojun Wang; Ming Yang; Guangxin Li; Bin Shu; Yong Liao; Hongxuan Li; Yao Tang; Shizhong Yang; Yongyi Zeng; Yufeng Yuan; Yinpeng Dong; Jihui Hao; Jun Zhu; Jiahong Dong,,agents_workflow,规则摘要：这项研究围绕“Towards Precision Therapy in Hepatocellular Carcinoma: A Clinical-Reasoning LLM for Risk Stratification and Treatment Guidance”提出了可进一步验证的技术方向。,"Hepatocellular carcinoma (HCC) is a common malignancy and a leading cause of cancer-related mortality. Current guidelines and staging systems provide coarse categories, but often miss within-stage heterogeneity and the clinical context in…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies Towards Precision Therapy in Hepatocellular Carcinoma: A Clinical-Reasoning LLM for Risk Stratification and Treatment Guidance to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,53.0,62.0,62.0,62.0,61.0,45.0,38.0,57.65,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
2,CausalDS: Benchmarking Causal Reasoning in Data-Science Agents,https://arxiv.org/abs/2607.08093,https://arxiv.org/pdf/2607.08093,huggingface,2026-07-10,Andrej Leban; Yuekai Sun,,agents_workflow,规则摘要：这项研究围绕“CausalDS: Benchmarking Causal Reasoning in Data-Science Agents”提出了可进一步验证的技术方向。,"Large language models (LLMs) increasingly act as integrated data-science agents, combining abstract reasoning with advanced tool use. Yet the relevant benchmark landscape largely divides into symbolic causal reasoning benchmarks without re…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies CausalDS: Benchmarking Causal Reasoning in Data-Science Agents to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,69.0,49.41,60.0,50.0,59.0,63.82,34.0,56.18,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.08093,,failed_or_skipped,medium
3,DSpark: Confidence-Scheduled Speculative Decoding with Semi-Autoregressive Generation,https://arxiv.org/abs/2607.05147,https://arxiv.org/pdf/2607.05147,huggingface,2026-07-08,Xin Cheng; Xingkai Yu; Chenze Shao; Jiashi Li; Yunfan Xiong; Yi Qian; Jiaqi Zhu; Shirong Ma; Xiaokang Zhang; Jiasheng Ye; Qinyu Chen; Chengqi Deng; Jiping Yu; Damai Dai; Zhengyan Zhang; Yixuan Wei; Yixuan Tan; Wenkai Yang; Runxin Xu; Yu Wu; Zhean Xu; Xuanyu Wang; Muyang Chen; Rui Tian; Xiao Bi; Zhewen Hao; Shaoyuan Chen; Huanqi Cao; Wentao Zhang; Anyi Xu; Huishuai Zhang; Dongyan Zhao; Wenfeng Liang,,infrastructure,规则摘要：这项研究围绕“DSpark: Confidence-Scheduled Speculative Decoding with Semi-Autoregressive Generation”提出了可进一步验证的技术方向。,"Speculative decoding accelerates Large Language Model (LLM) inference by decoupling draft generation from target verification. While recent parallel drafters efficiently propose long token sequences in a single forward pass, they suffer fr…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：AI 开发者基础设施服务。,"Expose the method as an observability, evaluation, or deployment service.",Create a reusable skill that applies DSpark: Confidence-Scheduled Speculative Decoding with Semi-Autoregressive Generation to one customer workflow.,AI engineers; product teams,Tiered developer plans,medium,61.0,52.97,60.0,50.0,59.0,63.93,34.0,55.89,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.05147,,failed_or_skipped,medium
4,UniClawBench: A Universal Benchmark for Proactive Agents on Real-World Tasks,https://arxiv.org/abs/2607.08768,https://arxiv.org/pdf/2607.08768,arxiv; huggingface,2026-07-09,Zhekai Chen; Chengqi Duan; Kaiyue Sun; Bohao Li; Yuqing Wang; Manyuan Zhang; Xihui Liu,,agents_workflow,规则摘要：这项研究围绕“UniClawBench: A Universal Benchmark for Proactive Agents on Real-World Tasks”提出了可进一步验证的技术方向。,"The rapid development of large language models and multimodal large language models has accelerated the emergence of proactive agents capable of operating everyday tools and assisting users in real-world environments. However, existing ben…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies UniClawBench: A Universal Benchmark for Proactive Agents on Real-World Tasks to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,61.0,52.79,60.0,50.0,59.0,63.58,34.0,55.81,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.08768,,failed_or_skipped,medium
5,HumanForge: A Human-Centric Deepfake Video Benchmark with Multi-Agent Forgery Rationales,https://arxiv.org/abs/2607.08705,https://arxiv.org/pdf/2607.08705,arxiv,2026-07-09,Wenbo Xu; Zhimin Chen; Xiaojie Liang; Hengrui Liu; Wei Lu,,agents_workflow,规则摘要：这项研究围绕“HumanForge: A Human-Centric Deepfake Video Benchmark with Multi-Agent Forgery Rationales”提出了可进一步验证的技术方向。,"Rapid advancements in video diffusion models and temporal editing tools have enabled the generation of highly realistic human-centric videos, posing unprecedented challenges to digital content forensics. Existing benchmarks primarily focus…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies HumanForge: A Human-Centric Deepfake Video Benchmark with Multi-Agent Forgery Rationales to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,61.0,54.0,60.0,53.0,61.0,52.0,34.0,55.6,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
6,The Context Access Divide: Interaction-Level Architecture as a Complementary Dimension of Agentic Inequality,https://arxiv.org/abs/2607.08495,https://arxiv.org/pdf/2607.08495,arxiv,2026-07-09,Masahiro Fujita,,agents_workflow,规则摘要：这项研究围绕“The Context Access Divide: Interaction-Level Architecture as a Complementary Dimension of Agentic Inequality”提出了可进一步验证的技术方向。,"Sharp et al. (2025) introduce ""agentic inequality"" as a framework for analyzing disparities in access to AI agents across three dimensions: availability, quality, and quantity. These person- and organization-level dimensions characterize w…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies The Context Access Divide: Interaction-Level Architecture as a Complementary Dimension of Agentic Inequality to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,53.0,55.0,62.0,59.0,59.0,45.0,38.0,55.25,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
7,Do Transformations Reveal the Truth? Generative Residual Learning for Generalized AI-Generated Image Detection,https://arxiv.org/abs/2607.08674,https://arxiv.org/pdf/2607.08674,arxiv,2026-07-09,Kutub Uddin; Nusrat Tasnim; Awais Khan; Mohammad Umar Farooq; Khalid Malik,,agents_workflow,规则摘要：这项研究围绕“Do Transformations Reveal the Truth? Generative Residual Learning for Generalized AI-Generated Image Detection”提出了可进一步验证的技术方向。,"The rapid advancement of generative AI has enabled the creation of highly realistic deepfake media, posing significant threats, including misinformation, digital identity theft, fraud, and manipulation of public opinion. AI-generated image…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies Do Transformations Reveal the Truth? Generative Residual Learning for Generalized AI-Generated Image Detection to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,77.0,40.0,60.0,47.0,57.0,66.0,34.0,54.6,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,,,failed_or_skipped,medium
8,Jet-Long: Efficient Long-Context Extension with Dynamic Bifocal RoPE,https://arxiv.org/abs/2607.07740,https://arxiv.org/pdf/2607.07740,huggingface,2026-07-10,Haozhan Tang; Zerui Wang; Yuxian Gu; Song Han; Han Cai,,agents_workflow,规则摘要：这项研究围绕“Jet-Long: Efficient Long-Context Extension with Dynamic Bifocal RoPE”提出了可进一步验证的技术方向。,"Modern LLMs are increasingly deployed in long-context applications such as retrieval-augmented generation, repository-level coding, and agentic workflows whose accumulated reasoning and tool traces routinely push the input an order of magn…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：面向单一工作流的 AI Agent SaaS。,Turn the method into a narrow workflow copilot.,Create a reusable skill that applies Jet-Long: Efficient Long-Context Extension with Dynamic Bifocal RoPE to one customer workflow.,operations teams; consultants; SMBs,Usage-based subscription,medium,53.0,51.7,60.0,50.0,59.0,54.41,34.0,53.42,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.07740,,failed_or_skipped,medium
9,ARDY: Autoregressive Diffusion with Hybrid Representation for Interactive Human Motion Generation,https://arxiv.org/abs/2607.08741,https://arxiv.org/pdf/2607.08741,arxiv; huggingface,2026-07-09,Kaifeng Zhao; Mathis Petrovich; Haotian Zhang; Tingwu Wang; Siyu Tang; Davis Rempe,,multimodal,规则摘要：这项研究围绕“ARDY: Autoregressive Diffusion with Hybrid Representation for Interactive Human Motion Generation”提出了可进一步验证的技术方向。,"Generating realistic 3D human motions in real-time within interactive applications is key for animation, simulation, and humanoid robotics. While recent offline motion generation approaches offer precise control via text and kinematic cons…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：多模态内容处理 API。,Package the capability as a media-processing API and review tool.,Create a reusable skill that applies ARDY: Autoregressive Diffusion with Hybrid Representation for Interactive Human Motion Generation to one customer workflow.,content teams; e-commerce sellers,API credits plus team plans,medium,69.0,42.38,58.0,41.0,59.0,65.76,30.0,52.67,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.08741,,failed_or_skipped,medium
10,Wake up for Touch! Mask-isolated Tactile Alignment Learning in MLLMs,https://arxiv.org/abs/2607.00302,https://arxiv.org/pdf/2607.00302,huggingface,2026-07-09,Yoonhyung Park; Minji Kim; Sungwon Moon; Jiyoung Lee,,multimodal,规则摘要：这项研究围绕“Wake up for Touch! Mask-isolated Tactile Alignment Learning in MLLMs”提出了可进一步验证的技术方向。,"Touch supplies the physical grounding needed to perceive intrinsic material properties, such as friction and compliance, that vision alone often cannot resolve. Recent efforts for equipping multimodal LLMs with this tactile sense, however,…","The paper introduces a product-relevant method, workflow, or evaluation signal.",It may reduce the cost or complexity of a repeatable user task.,优先把论文能力收窄成一个高频、可衡量的客户任务：多模态内容处理 API。,Package the capability as a media-processing API and review tool.,Create a reusable skill that applies Wake up for Touch! Mask-isolated Tactile Alignment Learning in MLLMs to one customer workflow.,content teams; e-commerce sellers,API credits plus team plans,medium,69.0,40.91,58.0,41.0,59.0,62.82,30.0,52.01,Selected by deterministic commercial and feasibility signals.,The research result may not transfer to real customer data; validate quality and cost early.,Interview five target users and build one measurable demo within seven days.,,0,https://huggingface.co/papers/2607.00302,,failed_or_skipped,medium
